transaction_id,date,type,symbol,quantity,price,fee,currency
deposit-1,2025-01-02,DEPOSIT,,0,25000.00,0,USD
buy-nvda-1,2025-01-03,BUY,NVDA,30,118.00,1.00,USD
buy-msft-1,2025-01-06,BUY,MSFT,20,285.00,1.00,USD
buy-voo-1,2025-02-04,BUY,VOO,12,440.00,1.00,USD
buy-bnd-1,2025-02-10,BUY,BND,40,74.00,1.00,USD
dividend-voo-1,2025-03-03,DIVIDEND,VOO,0,18.40,0,USD
fee-1,2025-04-01,FEE,,0,0.00,5.00,USD
deposit-2,2025-05-01,DEPOSIT,,0,5000.00,0,USD
buy-aapl-1,2025-05-02,BUY,AAPL,18,172.00,1.00,USD
sell-nvda-1,2025-07-15,SELL,NVDA,8,142.00,1.00,USD
buy-jnj-1,2025-09-03,BUY,JNJ,10,160.00,1.00,USD
withdrawal-1,2025-11-03,WITHDRAWAL,,0,1000.00,0,USD
dividend-bnd-1,2025-12-01,DIVIDEND,BND,0,22.00,0,USD

